city,lat,lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,date
Faanui,-16.4833,-151.75,27.3,75,37,6.26,PF,1619037877
Hithadhoo,-0.6,73.0833,27.99,68,23,2.42,MV,1619037877
Rosita,13.9268,-84.4032,33.55,35,88,3.45,NI,1619037877
Hasaki,35.7333,140.8333,8.0,93,20,1.03,JP,1619037878
Cape Town,-33.9258,18.4232,19.0,77,0,3.6,ZA,1619038277
Rikitea,-23.1203,-134.9692,25.7,71,15,5.23,PF,1619037878
Ushuaia,-54.8,-68.3,10.0,50,0,0.6,AR,1619037878
Grand Island,40.925,-98.342,8.0,31,90,6.69,US,1619037798
Mar del Plata,-38.0023,-57.5575,20.56,88,40,9.77,AR,1619037879
Tuktoyaktuk,69.4541,-133.0374,-12.0,79,90,10.29,CA,1619037879
Bluff,-46.6,168.3333,8.89,98,98,0.45,NZ,1619037879
Rocha,-34.4833,-54.3333,19.3,67,9,6.65,UY,1619037880
St. George's,12.0564,-61.7485,29.0,65,20,10.29,GD,1619037880
Klaksvík,62.2266,-6.589,4.0,93,40,3.6,FO,1619037880
Chiredzi,-21.05,31.6667,17.16,75,0,1.33,ZW,1619037880
Jamestown,42.097,-79.2353,1.11,80,90,3.6,US,1619037729
Arraial do Cabo,-22.9661,-42.0278,22.0,94,40,4.63,BR,1619037881
Esperance,-33.8667,121.9,14.0,94,90,1.03,AU,1619037881
Busselton,-33.65,115.3333,12.22,96,100,4.84,AU,1619037881
Boa Vista,2.8197,-60.6733,34.0,38,40,5.14,BR,1619037881
Saint George,37.1041,-113.5841,26.11,5,1,10.8,US,1619037882
Las Palmas,28.4204,-14.0131,20.0,68,20,7.72,ES,1619037882
Tuatapere,-46.1333,167.6833,8.89,98,92,0.45,NZ,1619037882
East London,-33.0153,27.9116,20.3,83,75,0.92,ZA,1619037883
Viesca,25.35,-102.8,31.0,11,1,2.57,MX,1619037883
Provincia di Ancona,43.55,13.1667,12.78,66,75,1.03,IT,1619037883
Puerto Madero,14.7208,-92.4215,33.0,52,40,7.72,MX,1619037883
Hermanus,-34.4187,19.2345,18.33,85,22,3.13,ZA,1619037884
Vaini,-21.2,-175.2,26.0,89,40,2.06,TO,1619037884
Cherskiy,68.75,161.3,-0.9,70,100,9.18,RU,1619037884
Upernavik,72.7868,-56.1549,-9.07,76,100,3.02,GL,1619037884
Benguela,-12.5763,13.4055,26.88,86,23,1.62,AO,1619037886
Hong Kong,22.2855,114.1577,22.78,82,0,2.91,HK,1619037624
Mahébourg,-20.4081,57.7,25.0,94,40,3.09,MU,1619037886
Atherton,53.5237,-2.4935,9.44,54,42,1.79,GB,1619037734
Yarmouth,41.7057,-70.2286,15.0,77,90,5.66,US,1619037886
Ugoofaaru,5.6667,73.0,28.23,72,10,3.38,MV,1619037886
Qaqortoq,60.7167,-46.0333,9.0,29,75,13.38,GL,1619037887
Skibbereen,51.55,-9.2667,9.0,87,40,4.63,IE,1619037887
Velagići,44.5572,16.7317,13.0,54,0,1.54,BA,1619037887
Albany,42.6001,-73.9662,2.78,67,100,3.13,US,1619037733
Mataura,-46.1927,168.8643,8.89,98,90,0.45,NZ,1619037887
Mogadishu,2.0371,45.3438,28.56,75,100,5.58,SO,1619037888
Madimba,-10.4,40.3333,24.0,94,20,7.2,TZ,1619037888
Nishifukuma,33.7667,130.4667,15.0,67,97,1.03,JP,1619037888
Porgera,-5.4667,143.2,5.89,91,98,1.23,PG,1619037888
Severo-Kuril'sk,50.6789,156.125,1.91,92,100,3.16,RU,1619037889
Goma,-1.6792,29.2228,17.1,91,98,0.61,CD,1619037889
Torbay,47.6666,-52.7314,10.56,57,20,9.26,CA,1619037889
Hobart,-42.8794,147.3294,11.67,58,40,5.14,AU,1619037889
Tërny,50.9833,33.9833,4.79,89,75,3.07,UA,1619037890
Dunedin,-45.8742,170.5036,11.67,94,94,2.24,NZ,1619037890
Lebu,-37.6167,-73.65,12.91,79,43,7.72,CL,1619037890
Palmas Bellas,9.2319,-80.0867,30.0,70,96,3.58,PA,1619037890
Vanimo,-2.6741,141.3028,25.19,82,99,2.01,PG,1619037891
Ilulissat,69.2167,-51.1,-3.0,54,7,3.6,GL,1619037891
Arecibo,18.4724,-66.7157,28.89,69,50,4.02,PR,1619037891
Laguna,38.421,-121.4238,25.0,28,1,1.54,US,1619037891
Port Hardy,50.6996,-127.4199,11.0,76,75,5.66,CA,1619037892
Adrian,41.8975,-84.0372,5.0,56,75,5.66,US,1619037783
Punta Arenas,-53.15,-70.9167,8.0,66,0,4.12,CL,1619037733
Dingle,10.9995,122.6711,25.41,82,98,3.41,PH,1619037892
Carnarvon,-24.8667,113.6333,17.0,88,12,3.6,AU,1619037893
Avera,33.194,-82.5271,22.0,37,40,7.2,US,1619037893
Okha,53.5739,142.9478,-2.4,85,82,2.22,RU,1619037893
Butaritari,3.0707,172.7902,28.11,77,100,6.96,KI,1619037893
Bairiki Village,1.3292,172.9752,28.0,78,40,5.14,KI,1619037894
Khandyga,62.6667,135.6,-13.44,92,25,1.09,RU,1619037894
Port Macquarie,-31.4333,152.9167,8.89,82,3,0.89,AU,1619037894
Ponta do Sol,32.6667,-17.1,17.78,74,88,0.89,PT,1619037894
Mendi,-6.1761,143.6513,12.33,95,100,1.41,PG,1619037895
Waycross,31.2136,-82.354,28.0,23,1,6.17,US,1619037895
Waukesha,43.0333,-88.3001,3.33,80,90,2.09,US,1619037737
Kunya,12.2233,8.5325,31.0,42,0,7.2,NG,1619037895
Inírida,3.8653,-67.9239,30.49,65,53,0.8,CO,1619037895
Atasū,48.6814,71.6433,2.71,67,43,3.59,KZ,1619037675
Kangaatsiaq,68.3065,-53.4641,-4.44,77,46,5.97,GL,1619037896
Hilo,19.7297,-155.09,28.0,54,40,4.12,US,1619037896
Kaeo,-35.1,173.7833,14.44,96,100,0.9,NZ,1619037896
Shingū,33.7333,135.9833,12.13,50,6,3.15,JP,1619037896
Katsuura,35.1333,140.3,15.0,51,20,4.12,JP,1619037897
Mahibadhoo,3.7833,72.9667,27.99,71,6,3.26,MV,1619037897
Nikolskoye,59.7035,30.7861,2.22,93,75,1.0,RU,1619037897
Talnakh,69.4865,88.3972,-10.7,95,100,4.81,RU,1619037897
Taseyevo,57.2169,94.8978,-10.08,97,45,0.31,RU,1619037898
Narsaq,60.9167,-46.05,9.0,29,75,13.38,GL,1619037898
